label,text
1,go die in a hole
1,you suck at everything
1,you are a brain dead fool
1,what a clown you are
1,your mom is so stupid
1,go back to your country idiot
1,you should not exist
1,i hate everything about you
1,you are trash and you know it
1,worthless piece of garbage
1,nobody invited you here
1,get out before i make you
1,i will hunt you down in real life
1,i know where you live
1,you better watch your back
1,i am going to ruin your life
1,you are pathetic loser
1,no wonder you have no friends
1,your avatar looks like garbage
1,you are an embarrassment to humanity
1,you are useless
1,everybody thinks you are a joke
1,go cry to your mommy
1,you are an absolute disgrace
1,you make me sick to my stomach
1,you stink and so does your gameplay
1,go away nobody wants you here
1,you are a parasite leech
1,uninstall the game forever
1,delete your account already
1,you ruin every game you join
1,i wish you were never born
1,you are the worst player alive
1,your team carries you every game
1,without your team you are nothing
1,disgusting behavior typical of you
1,you have no skill at all
1,quit the game you have no future
1,i am going to report and harass you forever
1,you are a worthless coward
1,your existence is a mistake
1,i will not stop until you quit
1,you are the cancer of this community
1,nobody respects you
1,why do you even bother
1,you are dead to me
1,i hate your guts
1,go to hell where you belong
1,you are a stain on this world
1,no one cares about your problems
1,shut your stupid mouth
1,you are intolerable
1,why are you so annoying
1,leave me alone you creep
1,stop following me you weirdo
1,you are a disgusting freak
1,nobody wants to play with a noob like you
1,you have the iq of a rock
1,how are you this dumb
1,you are clearly mentally deficient
1,everybody knows you are fake
1,you are a snake and a liar
1,you backstab everyone you meet
1,disgusting human being
1,you should be ashamed of yourself
1,you are an embarrassment to your family
1,your parents must be so disappointed
1,i hope your account gets banned forever
1,you deserve nothing good in life
1,karma is going to come for you
1,you are an actual scumbag
1,go choke on your words
1,fall off a cliff already
1,you are a sad excuse for a person
1,you have zero personality
1,you are boring and stupid
1,nobody finds you funny
1,your jokes are pathetic
1,your existence offends me
1,you are a giant loser
1,nobody is going to miss you when you leave
1,please disappear forever
1,you are a complete failure
1,everything you touch turns to garbage
1,you bring everyone down
1,toxic player just like always
1,how did you even get this far
1,you are clearly cheating
1,no skill only cheats
1,you are a disgrace to gamers
1,uninstall and never come back
1,i am going to make sure you regret this
1,you better watch out in real life
1,i will find you eventually
1,you are not safe anywhere
1,i am going to dox you
1,leak your address online
1,everybody will know who you really are
1,stop being such a snowflake
1,you cry about everything
1,grow a spine for once
1,you are weak and pathetic
1,no wonder nobody respects you
1,you have no friends in real life
1,no one even knows you exist
1,you are forgettable trash
1,your voice is annoying as hell
1,nobody asked for your opinion
1,shut up and stop talking
1,your words mean nothing
1,nobody believes anything you say
1,you are a compulsive liar
1,everyone sees through your lies
1,i will expose you for the fraud you are
1,you are a manipulative jerk
1,leave the community already
1,you are not welcome anywhere
1,everyone has muted you
1,you are blocked by everyone
1,can a moderator remove this idiot
1,kick this loser already
1,ban this trash forever
1,why has nobody banned you yet
1,you are abusing the system
1,you are a bug on this server
1,exterminate this trash
1,you are a curse on this game
1,i hope your computer crashes
1,i hope you lose all your progress
1,you deserve everything bad
1,nobody is sad when you suffer
1,we celebrate when you fail
1,everyone laughs at you behind your back
1,you are a public joke
1,delete yourself from existence
1,run away and never return
1,you are a coward and a fraud
1,real men do not act like you
1,you are beneath us all
1,bow down and apologize
1,beg for forgiveness loser
1,you do not deserve to play
1,this game is too good for you
1,you ruin the experience
1,go play something easier
1,you are clearly out of your league
1,this is not the place for losers
1,we have standards you do not meet
1,go away and stay away
1,nobody wants your company
1,you taint this beautiful place
1,i am going to spam you forever
1,prepare to be harassed
1,i will not let you have peace
1,your life will be hell
1,every day you log in i will be there
1,you cannot escape me
1,i am your worst nightmare
1,run while you can
1,you are a target now
1,we will all gang up on you
1,nobody is on your side
1,everyone agrees you are the worst
1,you are universally hated
1,disgusting filth like you should be banned
1,you are subhuman trash
1,you are an animal not a person
1,you do not deserve human treatment
1,go back under your rock
1,crawl back into your hole
1,we do not need your kind here
1,you do not belong with civilized people
1,you are an absolute disgrace
1,i am going to make sure you suffer
1,every move you make i will counter
1,you cannot win against us
1,we will crush you completely
1,your defeat will be public
1,everyone will see you fail
1,you will be a cautionary tale
1,a warning for future losers
1,that is what happens when trash plays
1,go cry yourself to sleep
1,whining little baby
1,quit being a snowflake and grow up
1,your tears fuel me
1,i live for your suffering
1,bring on more pain for you
1,i love watching you struggle
1,your defeat is my joy
1,please rage quit so we can laugh
1,you are a clown in a circus
1,the entertainment of failure
1,we point and laugh at you
1,your humiliation is our reward
1,nobody could possibly respect you
1,you are unworthy of basic decency
1,we strip away your dignity
1,you have none left to give
1,empty shell of a person
1,go away forever loser
1,never come back here
1,you are banned in our hearts
1,collective ignore from now on
1,you do not exist to us anymore
